timestamp,symbol,recommendation,avg_volume_pass,iv30_rv30_pass,term_structure_pass,expected_move
2025-05-11 11:54:22,AOS,Avoid,True,False,False,2.64%
2025-05-11 11:54:22,MMM,Avoid,True,False,False,3.06%
2025-05-11 11:54:22,ABBV,Avoid,True,False,False,4.18%
2025-05-11 11:54:22,ABT,Avoid,True,False,False,2.6%
2025-05-11 11:54:22,ACN,Avoid,True,False,False,2.91%
2025-05-11 11:54:24,A,Avoid,True,False,False,3.67%
2025-05-11 11:54:24,AMD,Avoid,True,False,False,5.1%
2025-05-11 11:54:25,ADBE,Avoid,True,False,False,3.2%
2025-05-11 11:54:25,AES,Avoid,True,False,False,5.62%
2025-05-11 11:54:25,AFL,Avoid,True,False,False,3.44%
2025-05-11 11:54:26,APD,Avoid,False,False,False,3.1%
2025-05-11 11:54:27,ARE,Avoid,True,False,False,3.07%
2025-05-11 11:54:27,ABNB,Avoid,True,False,False,4.28%
2025-05-11 11:54:27,AKAM,Avoid,True,False,False,3.64%
2025-05-11 11:54:28,ALB,Avoid,True,False,False,6.84%
2025-05-11 11:54:28,ALLE,Avoid,False,False,False,2.86%
2025-05-11 11:54:29,ALGN,Avoid,False,False,False,5.25%
2025-05-11 11:54:29,LNT,Avoid,True,True,False,2.71%
2025-05-11 11:54:29,ALL,Avoid,True,False,False,2.96%
2025-05-11 11:54:31,GOOGL,Avoid,True,False,False,3.37%
2025-05-11 11:54:31,AMCR,Avoid,True,False,False,3.29%
2025-05-11 11:54:32,GOOG,Avoid,True,False,False,3.34%
2025-05-11 11:54:32,MO,Avoid,True,False,False,2.15%
2025-05-11 11:54:32,AMZN,Avoid,True,False,False,3.74%
2025-05-11 11:54:33,AEE,Avoid,True,False,False,3.13%
2025-05-11 11:54:33,AEP,Avoid,True,False,False,2.39%
2025-05-11 11:54:34,AMT,Avoid,True,False,False,2.5%
2025-05-11 11:54:35,AXP,Avoid,True,False,False,2.86%
2025-05-11 11:54:35,AWK,Avoid,True,False,False,2.65%
2025-05-11 11:54:35,AIG,Avoid,True,False,False,2.52%
2025-05-11 11:54:35,AMP,Avoid,False,False,False,2.87%
2025-05-11 11:54:36,AME,Avoid,True,False,False,2.88%
2025-05-11 11:54:37,APH,Consider,True,False,True,4.14%
2025-05-11 11:54:37,ANSS,Consider,False,True,True,4.63%
2025-05-11 11:54:38,AMGN,Avoid,True,False,False,4.69%
2025-05-11 11:54:38,AON,Avoid,True,False,False,2.17%
2025-05-11 11:54:38,ADI,Avoid,True,False,False,4.48%
2025-05-11 11:54:40,APA,Avoid,True,False,False,6.4%
2025-05-11 11:54:40,APTV,Avoid,True,False,False,4.44%
2025-05-11 11:54:40,APO,Avoid,True,False,False,4.74%
2025-05-11 11:54:41,AAPL,Avoid,True,False,False,3.82%
2025-05-11 11:54:41,AMAT,Consider,True,False,True,6.64%
2025-05-11 11:54:42,ACGL,Consider,True,False,True,3.33%
2025-05-11 11:54:43,AJG,Avoid,True,False,False,2.54%
2025-05-11 11:54:43,AIZ,Avoid,False,False,True,7.22%
2025-05-11 11:54:43,ADM,Avoid,True,False,False,3.3%
2025-05-11 11:54:43,ANET,Avoid,True,False,False,5.11%
2025-05-11 11:54:45,T,Avoid,True,False,False,2.66%
2025-05-11 11:54:45,ATO,Avoid,False,False,False,1.72%
2025-05-11 11:54:45,AZO,Avoid,False,False,False,2.59%
2025-05-11 11:54:46,ADSK,Avoid,False,False,False,3.43%
2025-05-11 11:54:46,ADP,Avoid,True,False,False,1.99%
2025-05-11 11:54:46,AVB,Avoid,False,False,False,2.82%
2025-05-11 11:54:47,AVY,Avoid,False,False,False,2.86%
2025-05-11 11:54:47,AXON,Avoid,False,False,False,3.62%
2025-05-11 11:54:47,BKR,Avoid,True,False,False,4.45%
2025-05-11 11:54:48,BALL,Avoid,True,False,False,2.83%
